,year,date,all_2534,HS_2534,SC_2534,BAp_2534,BAo_2534,GD_2534,White_2534,Black_2534,Hisp_2534,poor_2534,mid_2534,rich_2534,all_3544,HS_3544,SC_3544,BAp_3544,BAo_3544,GD_3544,White_3544,Black_3544,Hisp_3544,poor_3544,mid_3544,rich_3544,all_4554,HS_4554,SC_4554,BAp_4554,BAo_4554,GD_4554,White_4554,Black_4554,Hisp_4554,poor_4554,mid_4554,rich_4554,nokids_all_2534,kids_all_2534,nokids_HS_2534,nokids_SC_2534,nokids_BAp_2534,nokids_BAo_2534,nokids_GD_2534,kids_HS_2534,kids_SC_2534,kids_BAp_2534,kids_BAo_2534,kids_GD_2534,nokids_poor_2534,nokids_mid_2534,nokids_rich_2534,kids_poor_2534,kids_mid_2534,kids_rich_2534
1,1960,1/1/1960,0.123314474,0.109533164,0.152281777,0.238995228,0.238995228,0,0.116484827,0.162185505,0.139373642,0.137159745,0.07514929,0.206677558,0.070581567,0.068603092,0.066636949,0.132626471,0.132626471,0,0.06825586,0.088367284,0.073076508,0.101974926,0.047172718,0.085538699,0.072546493,0.068407915,0.079037547,0.153608885,0.153608885,0,0.07246692,0.06913249,0.066360579,0.103005543,0.05364421,0.079085907,0.464056385,0.002820625,0.443014829,0.50004021,0.561909947,0.561909947,0,0.003318886,0.001150824,0.000575107,0.000575107,0,0.493306081,0.410007985,0.492118423,0.008722711,0.000753206,0.000802733
2,1970,1/1/1970,0.12697147,0.109400024,0.149509574,0.218703097,0.218703097,0,0.117904279,0.185516308,0.129876863,0.171720238,0.081592068,0.172409318,0.067325204,0.065119637,0.062717243,0.11168988,0.11168988,0,0.062503723,0.102909037,0.070705004,0.11175479,0.045668384,0.064991593,0.059687942,0.058334386,0.05443478,0.104660466,0.104660466,0,0.057547988,0.078991677,0.058107402,0.101648888,0.04221637,0.051428671,0.43090434,0.009868596,0.424677899,0.433347907,0.455476602,0.455476602,0,0.012465915,0.003699982,0.001468343,0.001468343,0,0.509774233,0.376453769,0.428894826,0.029974945,0.003377115,0.003043566
3,1980,1/1/1980,0.199176741,0.161731344,0.223691626,0.28816462,0.28816462,0,0.182412556,0.313750042,0.188544039,0.310059097,0.148253034,0.185108155,0.068833776,0.064291018,0.065313335,0.10561021,0.10561021,0,0.059667389,0.131400809,0.081107902,0.129142567,0.050503212,0.044459505,0.052508715,0.050365629,0.0481618,0.086237744,0.086237744,0,0.047653541,0.086246016,0.065229511,0.100301097,0.038302656,0.033112956,0.446430391,0.025285667,0.431934243,0.450589954,0.471969962,0.471969962,0,0.031930752,0.018135401,0.006254436,0.006254436,0,0.574040211,0.39982497,0.384808911,0.077926214,0.010236887,0.006831722
4,1990,1/1/1990,0.29683059,0.277749135,0.278091165,0.361296789,0.365665464,0.347450516,0.263925592,0.483855583,0.296237237,0.419910778,0.243200082,0.278322566,0.111918003,0.112100427,0.096993723,0.128517228,0.125856744,0.132801812,0.096113116,0.220102979,0.121942059,0.201220816,0.090247394,0.065739164,0.059478238,0.059882442,0.046540871,0.073018844,0.064165287,0.083948859,0.050925519,0.116176993,0.076135558,0.11483347,0.045623316,0.031363857,0.542524242,0.060277451,0.546488078,0.523844642,0.556076479,0.56333009,0.533262799,0.078470444,0.052032702,0.017124104,0.018176603,0.013742342,0.654690795,0.51866038,0.475015628,0.170763774,0.027465525,0.018232913
5,2000,1/1/2000,0.345008724,0.331654542,0.3249205,0.387490564,0.393957934,0.369173992,0.312714855,0.514499403,0.318068123,0.503367646,0.302020364,0.271738605,0.156058805,0.169937033,0.138004042,0.154123816,0.153629863,0.155097018,0.132070321,0.302393808,0.154695197,0.281313703,0.128157508,0.086220464,0.088043944,0.094428089,0.075587856,0.092084169,0.090974724,0.093628024,0.07578174,0.175873345,0.094180088,0.171897587,0.070556717,0.038973423,0.571453068,0.099472713,0.571139462,0.570004239,0.57296769,0.586221321,0.536715954,0.127193577,0.09762531,0.037002445,0.040100987,0.027614668,0.705545093,0.56902276,0.44580228,0.256281918,0.059784517,0.02956447
6,2001,1/1/2001,0.352776707,0.344606893,0.33411014,0.383568647,0.392514841,0.359030377,0.318350583,0.543798462,0.33212139,0.517877141,0.317161181,0.253204149,0.156425289,0.168701563,0.139860442,0.154815062,0.152492291,0.15951687,0.13287455,0.308577962,0.149530504,0.291911158,0.132676249,0.06803283,0.08823342,0.091890072,0.077954809,0.093333649,0.093134798,0.093628757,0.075169119,0.181545307,0.094098964,0.175936917,0.074075082,0.028573199,0.585221272,0.110178467,0.6045475,0.581091176,0.569864416,0.586496695,0.525879961,0.141395652,0.110030662,0.039980145,0.044583801,0.026450411,0.714733398,0.586474063,0.446111078,0.280146488,0.067795457,0.03365405
7,2002,1/1/2002,0.353524928,0.349036651,0.336159537,0.377432795,0.387083979,0.351284828,0.319669065,0.540397592,0.331261271,0.517425235,0.318240409,0.25347244,0.159676297,0.169636084,0.145515907,0.159276404,0.159899212,0.158009513,0.134295159,0.309697926,0.164459168,0.290429964,0.137232256,0.071534388,0.092846937,0.096438542,0.083068682,0.097746314,0.095381243,0.101266274,0.079813172,0.190168806,0.093551626,0.182888873,0.07842791,0.030819682,0.58566446,0.114273009,0.611380242,0.579756866,0.565559559,0.580378842,0.526189203,0.142396369,0.122975412,0.040139441,0.045615555,0.024765226,0.718467358,0.58283482,0.451421173,0.285886461,0.071384759,0.032092629
8,2003,1/1/2003,0.362034507,0.35818769,0.341892952,0.387380588,0.400003915,0.353813048,0.32568121,0.556895389,0.34175126,0.529727884,0.328231753,0.251606438,0.160899271,0.174170086,0.14725088,0.155410647,0.1551795,0.155869694,0.135473428,0.322641974,0.15220492,0.296768621,0.137916538,0.069490048,0.096973075,0.102394189,0.087929572,0.098623666,0.10060391,0.095585407,0.082454695,0.206473712,0.097112646,0.19429622,0.081145243,0.031077596,0.595714798,0.117551349,0.618463462,0.589891618,0.578336782,0.593832392,0.536805181,0.148438624,0.121567813,0.046565969,0.051982757,0.032362123,0.726908492,0.595960677,0.452032443,0.292612788,0.075946341,0.02937062
9,2004,1/1/2004,0.36732471,0.370810225,0.345074847,0.384735738,0.397612414,0.351772937,0.3306283,0.572401511,0.348578931,0.536758185,0.335612736,0.25225447,0.165159413,0.182358542,0.149328703,0.156326679,0.157312268,0.154363118,0.138365003,0.318905569,0.169558587,0.309345729,0.141358138,0.068311688,0.101223153,0.107884662,0.089635225,0.103578794,0.103296501,0.104025425,0.086453673,0.207710059,0.101207588,0.201347911,0.085768684,0.031892649,0.600382492,0.123881027,0.62739087,0.598461504,0.576973265,0.596420157,0.52788274,0.164142127,0.120965583,0.047563676,0.052674199,0.034153699,0.7327161,0.599756343,0.456414343,0.30607968,0.080352079,0.032626231
10,2005,1/1/2005,0.379345138,0.387068031,0.359666265,0.388609649,0.402911611,0.351425073,0.343875893,0.575173098,0.358954377,0.551922358,0.347668291,0.26204522,0.168595433,0.186976371,0.154897817,0.156358906,0.157873062,0.153470272,0.143930439,0.32319204,0.165597803,0.310960351,0.14779424,0.0674847,0.106627015,0.114840616,0.095088686,0.106747464,0.106627734,0.106936442,0.090669877,0.219160598,0.106415386,0.214221872,0.090365152,0.031432125,0.610130747,0.129535759,0.638869141,0.609708465,0.582372671,0.602887469,0.529404252,0.17086679,0.12990878,0.045798366,0.050995808,0.032117349,0.73754917,0.608967574,0.471279252,0.323611416,0.085249007,0.0313264
